0,1,2
2.25056153794867e-06,0.0,1.4436915171245347e-06
4.2671739429351873e-05,1.233624367387165e-05,1.945662332673237e-05
4.288449315936305e-05,1.3621390592106763e-05,1.958682920303545e-05
4.274764787624008e-05,1.3751734282436701e-05,1.8948496992834408e-05
4.291473813282209e-05,1.3297779156573597e-05,1.966879731867266e-05
4.291846173146041e-05,1.3673755729541881e-05,1.9419205129906915e-05
4.268613056410686e-05,1.35403445369775e-05,1.9276037560302938e-05
4.296706647437532e-05,1.3583105559291653e-05,2.0094214238497444e-05
4.284809801902156e-05,1.365599652160654e-05,1.9057435658851317e-05
4.2619178020686374e-05,1.3543817638748124e-05,1.9547861285502676e-05
4.298811720218509e-05,2.015654846303505e-05,1.909943762445465e-05
4.252148015439161e-05,1.5404177230493587e-05,2.069829547963309e-05
4.280194076272892e-05,2.3009794291510842e-05,1.9373278767496062e-05
4.2243163716193524e-05,2.1347605426313975e-05,1.9554780537873738e-05
4.124121872280284e-05,1.9809105847237164e-05,1.9240607884967175e-05
4.3825383080076105e-05,1.5842531692260574e-05,1.91256640755455e-05
4.564723796590897e-05,1.5458688121725572e-05,1.9765648507927834e-05
4.097018731328686e-05,1.4045733485943402e-05,1.9616609392869577e-05
4.424016012762877e-05,1.4876042133664668e-05,1.886016852040484e-05
4.254084436524863e-05,1.3439562203352296e-05,1.942573264841485e-05
4.26357745709538e-05,1.3988341441972807e-05,1.949122329278907e-05
4.2738340089272244e-05,1.383941120707277e-05,1.874333237992687e-05
4.270423880370799e-05,1.351826750209284e-05,1.899135888379533e-05
4.185527001936862e-05,1.3757711557502716e-05,1.9907805744878714e-05
4.3571973019425056e-05,1.4281170545942246e-05,1.9968571523349963e-05
4.2429318182257705e-05,1.306113643096296e-05,1.97646393235118e-05
4.3143606599187476e-05,1.3591309123235362e-05,1.9145062951793078e-05
4.1775953040996685e-05,1.3740444859422497e-05,1.9008796152775175e-05
4.1529838172209564e-05,1.3568740660048207e-05,1.9264693783043186e-05
4.150220418523531e-05,1.3744423898742753e-05,1.939960840900312e-05
