x,y,z,3,4,5
0,0,4.79772,11.378,0,0
0,0,4.8506,0,0,0
0,0,4.74484,0,0,0
0,0.68409,4.90348,0,0,0
0,0,4.63912,0,0,0
0,0.34548,4.74484,0,0,0
0,0,4.8506,0,0,0
0,0,4.90348,-10.204,0,0
0,0,5.00924,-13.274,0,0
0,0,4.692,0,0,0
0,0,4.8506,-11.648,0,0
0,0,5.00924,-14.177,0,0
0,0,4.74484,0,0,0
0,0,5.115,-12.461,0,0
0,0,4.79772,0,0,0
0,0,5.115,-12.822,0,0
0,0,4.79772,0,0,0
0,0,4.90348,0,0,0
0,0,5.00924,0,0,0
0,-0.97431,4.79772,0,0,0
0,-1.49946,5.2736,16.434,0,0
0,-1.61004,5.32648,17.337,0,0
0,-1.50639,5.16784,18.15,0,0
0,-0.50442,5.538,0,0,0
0,0,4.74484,0,0,0
0,-0.31095,4.74484,0,0,0
0,0,4.63912,0,0,0
0,0,4.63912,0,0,0
0,0,4.63912,0,0,0
0,0,4.692,0,0,0
0,-0.33858,4.63912,0,0,0
0,-0.36621,4.63912,0,0,0
0,-0.36621,4.63912,0,0,0
0,-0.37314,4.48048,0,0,0
0,-0.40077,4.4276,0,0,0
0,-0.48369,4.37472,10.655,0,0
0,-0.35241,4.58624,12.642,0,0
0,-0.4284,4.37472,12.1,0,0
0,0,4.269,0,0,0
0,0,4.37472,0,0,0
0,0,4.16324,0,0,0
0,0,4.21612,0,0,0
0,0,4.05748,0,0,0
0,0,4.11036,0,0,0
0,0,4.11036,0,0,0
0,0,4.16324,0,0,0
0,0,4.269,0,0,0
0,0.52515,4.32184,-13.093,0,0
0,0.47679,4.37472,-13.093,0,0
0,0,4.11036,0,0,0
0,0,4.16324,0,0,0
0,0.39387,4.32184,-10.926,0,0
0,0.34548,4.32184,-10.113,0,0
0,0,4.269,0,0,0
0,0,4.269,0,0,0
0,0,4.4276,0,0,0
0,0,4.269,0,0,0
0,0,4.48048,0,0,0
0,0,4.58624,0,0,0
0,0,4.53336,0,0,0
0,0,4.58624,0,0,0
0,0,4.74484,0,0,0
0,0,4.53336,0,0,0
0,0,4.74484,0,-10.314,0
0,0,4.74484,0,-11.614,0
0,0,4.74484,0,-11.522,0
0,0,4.74484,0,-10.221,0
0,0,4.63912,0,-10.314,0
0,0,4.692,0,-10.035,0
0,0,4.692,0,0,0
0,0,4.58624,0,0,0
0,0,4.692,0,0,0
0,0,4.58624,0,0,0
0,0,4.692,0,0,0
0,0,4.692,0,0,0
0,0,4.53336,0,0,0
0,0,4.4276,0,0,0
0,-0.34548,4.692,0,0,0
0,-0.43533,4.63912,0,0,0
0,-0.76008,4.16324,0,0,0
0,-0.55278,4.63912,0,0,0
0,0,4.63912,0,0,0
0,0,4.16324,0,0,0
0,0,4.05748,0,0,0
0,-0.38004,4.05748,0,0,0
0,-0.58044,4.21612,0,0,0
0,-0.64263,4.11036,0,0,0
0,-0.44223,4.21612,0,0,0
0,-0.55278,4.16324,0,0,0
0,-0.59424,4.16324,0,0,0
0,-0.64953,4.05748,10.655,0,0
0,-0.60117,3.79312,0,0,0
0,-0.46986,4.0046,0,0,0
0,0,3.846,0,0,0
0,0,3.846,0,0,0
0,0,3.79312,0,0,0
0,0,3.846,0,0,0
0,0,3.79312,0,0,0
0,0,3.846,0,0,0
0,0,3.89884,0,0,0
0,0.30402,3.89884,0,0,0
0,0,4.05748,0,0,0
0,0.48369,4.11036,0,0,0
0,0.61497,4.16324,-12.01,0,0
0,0.35931,4.21612,0,0,0
0,0,4.21612,0,0,0
0,0,4.0046,0,0,0
0,0,4.16324,0,0,0
0,0,4.37472,0,0,0
0,0,4.37472,0,0,0
0,0,4.269,0,0,0
0,0,4.48048,0,0,0
0,0,4.48048,0,0,0
0,0,4.37472,0,0,0
0,0,4.4276,0,0,0
0,0,4.48048,0,0,0
0,0,4.53336,0,0,0
0,0,4.48048,0,0,0
0,0,4.48048,0,0,0
0,0,4.37472,0,0,0
0,0,4.37472,0,0,0
0,0,4.4276,0,0,0
0,0,4.53336,0,0,0
0,0,4.48048,0,0,0
0,0,4.32184,0,0,0
0,0,4.4276,0,0,0
0,0,4.63912,0,0,0
0,0,4.4276,0,0,0
0,0,4.269,0,0,0
0,0,4.63912,0,0,0
0,0,4.4276,0,0,0
0,0,4.48048,0,0,0
0,0,4.32184,0,0,0
0,0,4.32184,0,0,0
0,0,4.269,0,0,0
0,0,4.21612,0,0,0
0,0,4.16324,0,0,0
0,0,4.16324,0,0,0
0,0,4.11036,0,0,0
0,0,4.0046,0,0,0
0,0,3.95172,0,0,0
0,-0.46296,3.95172,0,0,0
0,0,4.269,0,0,0
0,0.33858,4.16324,0,0,0
0,0,3.89884,0,0,0
0,0,4.11036,0,0,0
0,0,4.11036,0,0,0
0,0,4.21612,0,0,0
0,0,4.21612,0,0,0
0,0,4.37472,0,0,0
0,0,4.4276,0,0,0
0,0,4.48048,0,0,0
0,0,4.692,0,0,0
0,0,4.63912,0,0,0
0,0,4.58624,0,0,0
0,0,4.37472,0,0,0
0,0,4.21612,0,0,0
0,0,4.16324,0,0,0
0,0,3.95172,0,0,0
0,0,5.00924,0,0,0
0,0,4.74484,0,0,0
0,0,5.115,0,0,0
0,0,4.79772,0,0,0
0,0,5.115,0,0,0
0,0,4.79772,0,0,0
0,0,4.90348,0,0,0
0,0,5.00924,0,0,0
0,0,4.79772,0,0,0
1.3869,0,5.2736,0,0,0
2.2884,-0.32475,5.32648,0,0,0
3.0282,-0.40767,5.16784,0,0,0
3.19,-0.36621,5.538,0,0,0
3.6061,-0.37314,4.74484,0,0,0
3.9528,-0.31785,4.74484,0,10.406,0
3.9297,-0.38694,4.63912,0,0,0
3.6061,-0.46296,4.63912,0,0,0
3.7679,-0.48369,4.63912,0,0,0
3.5598,-0.54588,4.692,0,0,0
3.5598,-0.49752,4.63912,0,0,0
3.2362,-0.50442,4.63912,0,0,0
3.3749,-0.31095,4.63912,0,0,0
3.4674,0,4.48048,0,0,0
3.7216,0,4.4276,0,0,0
4.2302,0,4.37472,0,12.451,0
4.2995,0,4.58624,0,12.822,0
3.791,0,4.37472,0,0,0
2.6583,0,4.269,0,0,0
0,0,4.37472,0,0,0
0,0,4.16324,0,0,0
0,0,4.21612,0,0,0
0,0.35931,4.05748,0,0,0
0,0,4.11036,0,0,0
0,0,4.11036,0,0,0
0,0.57351,4.16324,0,0,0
0,0.35241,4.269,0,0,0
0,0.50442,4.32184,0,0,0
0,0,4.37472,0,0,0
0,0,4.692,0,0,0
0,0,4.90348,0,-13.287,0
0,0,4.692,0,-12.915,0
0,0,4.8506,0,-12.915,0
0,0,5.16784,-13.003,-12.172,0
0,0,4.90348,-11.919,-10.592,0
0,0,4.90348,0,-10.035,0
0,0,5.115,-12.01,0,0
0,0,5.16784,-13.003,0,0
0,0,5.16784,-13.093,0,0
0,-1.08486,4.8506,0,0,0
0,-0.82227,5.74948,0,0,0
0,-0.67716,5.48512,0,0,0
0,-0.51132,5.43224,0,0,0
