x,y,z
0,-63.60320615,-1.246684818
0,-71.69916421,-1.176201599
0,-80.3340678,-1.120482212
0,-88.2818934,-1.055859671
0,-92.24689483,-1.023886038
0,-94.59606376,-0.988046004
0,-93.71863644,-0.925790494
0,-88.7435934,-0.861671167
0,-83.50984139,-0.807188352
0,-73.82343331,-0.751784728
0,-62.99445002,-0.688978837
0,-52.72354921,-0.605033574
0,-43.69871715,-0.550857324
0,-33.52323678,-0.439901218
0,-26.81632168,-0.37604198
0,-20.48289299,-0.293441408
0,-11.89757136,-0.185453976
0,-7.548734751,-0.143723627
0,-5.300872152,-0.116435235
0,3.193549436,-0.033073752
0,6.681136353,0.041830324
0,11.2348473,0.143617148
0,15.91399854,0.259538723
0,21.57531128,0.384338862
0,29.82645467,0.453452338
0,39.93367136,0.519406753
0,43.55634328,0.533666193
0,55.04885515,0.581070931
0,65.76719384,0.626942657
0,74.92944007,0.67991926
0,84.53055548,0.741543431
0,88.44128593,0.769363789
0,96.34755687,0.81223952
0,102.6337505,0.845581252
0,109.3868379,0.871344102
0,117.1346847,0.901311277
0,118.4206208,0.92556792
0,115.3224761,0.947288098
0,111.1424876,0.955473492
0,105.8842947,0.965170536
0,96.24142974,0.964636746
0,89.2613416,0.967794009
0,82.28965069,0.963616223
0,69.33880438,0.952582587
0,61.1867691,0.942246472
0,54.39577977,0.935422378
0,48.17356512,0.942568356
0,39.80915186,0.957997535
0,35.93788544,0.966895726
0,29.66248089,0.971479714
0,24.64783557,0.967647672
0,16.40451323,0.982851173
0,7.869801757,0.998318105
0,-3.840402911,1.012347894
0,-15.24221712,1.020213414
0,-23.37649231,1.038570071
0,-31.20967927,1.049482689
0,-44.25534503,1.101908675
0,-51.76913886,1.141152815
0,-56.87892455,1.158264979
0,-62.27547275,1.186971664
0,-74.09550006,1.25249858
0,-80.16142466,1.279421324
0,-93.87503945,1.363769405
0,-97.70411493,1.414596392
0,-96.30426849,1.471043788
0,-87.4268071,1.543619866
0,-74.35989394,1.60817348
0,-63.91785726,1.656432883
0,-53.41467736,1.708798782
0,-43.00830983,1.74848044
0,-36.39556438,1.782030271
0,-24.64775118,1.839627633
0,-16.75740524,1.888084112
0,-9.058584169,1.93731165
0,-1.682539091,1.969797939
0,7.438541864,2.022918263
0,13.75974215,2.062438089
0,17.71944791,2.088270899
0,25.83021487,2.121413583
0,32.04038395,2.166940238
0,42.09965367,2.199122587
0,53.55615193,2.201380575
0,61.77196707,2.194911831
0,72.30841889,2.194595488
0,80.98910684,2.184702068
0,86.7069094,2.179982096
0,92.67237644,2.18731128
0,101.7907908,2.178950115
0,109.4449536,2.166964317
0,115.31269,2.139674588
0,113.5059331,2.105773695
0,109.6015182,2.092972781
0,97.99770109,2.044668075
0,85.25927734,1.997280347
0,73.3982487,1.940851231
0,65.48404472,1.911100127
0,55.77386333,1.851327821
0,48.68087306,1.812827068
0,36.50327747,1.769897853
0,29.01577669,1.746660376
0,18.58254817,1.711984581
0,9.114068341,1.69670539
0,1.123540982,1.683406634
0,-4.950685727,1.663953631
0,-16.61930398,1.656444591
0,-26.64853116,1.647756073
0,-36.65789818,1.656297433
0,-46.41364004,1.670621944
0,-55.91894574,1.689370378
0,-67.24421254,1.709004907
0,-75.88865495,1.735264159
0,-84.5392949,1.755551541
0,-88.90325728,1.770769727
0,-93.25135379,1.782439837
0,-91.7539473,1.823486517
0,-82.9228591,1.851092788
0,-69.92099078,1.884278117
0,-56.04210657,1.914572783
0,-46.6245566,1.939656218
0,-37.57947182,1.955540634
0,-28.57016839,1.978816421
0,-20.0246578,2.007824577
0,-5.398307149,2.045471668
0,4.701289664,2.082881576
0,13.17956989,2.124370192
0,20.90567846,2.159032587
0,27.07153068,2.173127781
0,36.48049801,2.189806252
0,41.44211591,2.221435658
0,52.71597154,2.253726893
0,64.39824913,2.277657534
0,75.11118494,2.28729783
0,84.65552815,2.301635117
0,96.24423482,2.314350758
0,105.1620323,2.317971935
0,113.6498556,2.314133316
0,122.0475788,2.308847883
0,117.0460014,2.30034467
0,107.3204768,2.285665358
0,101.6807394,2.270493188
0,85.90881956,2.236395073
0,79.32028444,2.235459008
0,64.9793422,2.231232997
0,55.86452771,2.202704737
0,47.01989205,2.17696903
0,38.69208723,2.172158663
0,29.48116544,2.176484066
0,15.59874429,2.174816071
0,4.056993939,2.179196378
0,-5.570609322,2.202455659
0,-17.82722193,2.242682174
0,-35.86706466,2.321042969
0,-43.11540549,2.359793222
0,-53.23954286,2.410300395
0,-64.53825461,2.45220035
0,-72.32940235,2.47225077
0,-84.76516513,2.492045974
0,-93.81820027,2.447756848
0,-93.57504067,2.410133544
0,-86.09413346,2.33880955
0,-71.11947372,2.201118797
0,-55.55829194,2.016557942
0,-43.14118373,1.816494406
0,-34.91879152,1.656494663
0,-24.6797034,1.456494667
0,-13.84764587,1.256494667
0,-3.0341054,1.056494667
0.325181274,6.207477949,0.896494667
3.455820931,19.77318813,0.656494667
12.18342956,37.72727018,0.296494667
18.2620678,47.60191281,0.096494667
24.93450778,58.25718396,-0.103505333
30.79795404,67.21776246,-0.263505333
38.78126281,79.89708768,-0.463505333
46.76667786,92.33367374,-0.663505333
53.03839598,100.9199078,-0.823505333
59.25908694,109.4883669,-0.983505333
65.32637908,115.8298677,-1.143505333
72.67533851,112.9134885,-1.343505333
79.66631691,100.6412506,-1.512172
85.24520395,89.05805479,-1.65646665
91.03436107,78.40509924,-1.78006535
102.0499998,62.83674378,-1.944039674
108.9407277,54.71921105,-2.046116638
115.7773473,45.65709864,-2.141084172
123.3431611,33.86417678,-2.250433464
127.6433554,24.8031967,-2.31787103
129.4818901,16.12150626,-2.377071988
130.2792195,4.572457305,-2.437560274
130.4913429,-4.650193186,-2.476479312
130.5833359,-14.82493912,-2.536393089
130.6078099,-22.83097327,-2.532809264
130.6171827,-32.53011232,-2.469109514
130.6207721,-41.92969484,-2.427731229
130.622472,-57.73132556,-2.369901693
130.6227978,-68.13514738,-2.329902128
130.6229391,-82.63404751,-2.256309956
130.6229856,-96.67543924,-2.13552033
130.6229945,-96.80848658,-2.069603955
130.6229983,-85.54460624,-1.940892692
130.6229995,-69.85896204,-1.804807344
130.6229998,-55.61841393,-1.684185122
130.623,-44.64405158,-1.540753038
130.623,-34.59217261,-1.398806251
130.623,-24.62966809,-1.264486076
130.623,-11.79126946,-1.097009311
130.623,-1.829646372,-0.945828823
130.623,9.222504235,-0.6174757
130.623,17.23905608,-0.405965922
130.623,28.0411595,-0.211469638
130.623,38.75838289,-0.106513156
130.623,54.81158039,0.118227225
130.623,65.84027286,0.225943283
130.623,80.53264601,0.345581402
130.623,94.10823727,0.467576702
130.623,105.6578365,0.576360436
130.623,114.4885101,0.657795923
130.623,121.8169881,0.749509383
130.623,117.1609684,0.840952428
130.623,103.7452883,0.929146017
130.623,87.65770609,1.006302554
130.623,70.80009905,1.115037986
130.623,58.57911838,1.221657223
130.623,49.79957862,1.311373197
130.623,39.43083424,1.416789644
130.623,29.72017536,1.495447373
130.623,17.19432515,1.626324846
130.623,4.856390797,1.760406542
130.623,-10.28818644,1.932923122
130.623,-24.72336681,2.10431098
130.623,-35.46235549,2.264182929
130.623,-45.72047788,2.431386726
130.623,-56.33160742,2.60317274
130.623,-68.70305076,2.782978377
130.623,-77.00459443,2.888183865
130.623,-87.97829108,3.017407374
130.623,-87.15458971,3.105322933
130.623,-75.43353238,3.181348608
130.623,-52.33876588,3.323339866
130.623,-41.72720238,3.41778563
130.623,-37.45901141,3.588334139
130.623,-33.1156005,3.79433013
130.623,-25.79713605,3.927691964
130.623,-13.34169658,4.089317745
130.623,6.818540018,4.226438921
130.623,23.98492266,4.296816652
130.623,37.23994657,4.357857556
130.623,47.91167193,4.442436142
130.623,56.56073824,4.548560707
130.623,63.80474729,4.616637375
130.623,74.5653331,4.6821493
130.623,89.474814,4.733399243
130.623,96.94901224,4.753807139
130.623,109.1336038,4.777444283
130.623,118.8511314,4.787790753
130.623,117.1656646,4.771699722
130.623,107.2906646,4.739781757
130.623,88.79213192,4.6906548
130.623,76.38142676,4.649506222
130.623,66.72230893,4.610023863
130.623,52.27583754,4.549285849
130.623,40.29276763,4.481590651
130.2939954,29.58704232,4.370755857
127.3781521,16.85606785,4.250475682
122.4018148,3.404993739,4.08559903
114.2376947,-9.177137186,3.845743801
107.9697611,-15.97130381,3.685743998
97.43161859,-29.27290845,3.405744
90.7543785,-40.64559207,3.205744
83.0077414,-54.65022908,2.965744
76.89608046,-64.62278581,2.765744
69.59722702,-76.79868968,2.485744
64.87290576,-85.64403808,2.285744
60.35081457,-89.77562093,2.085744
54.80749787,-81.10960882,1.845744
49.99511879,-67.61033333,1.645744
45.80853031,-57.0634485,1.485744
39.00213903,-44.70248828,1.245744
33.59036602,-36.06666974,1.045744
30.32029608,-27.33208277,0.906892444
28.49669115,-13.79085994,0.8016136
28.01153498,-3.13256723,0.738493271
27.80113413,9.640562511,0.665464856
27.73191652,25.5456857,0.588750117
27.71689389,37.8755763,0.523990438
27.71236805,48.82262406,0.466143052
27.71100456,59.76934654,0.409542237
27.710556,71.43088543,0.340780124
27.71044969,83.32565488,0.295779126
27.71043274,91.42426693,0.275869119
27.71041966,111.9770557,0.237897407
27.71041738,123.7350036,0.20321234
27.71041688,118.1605672,0.159261667
27.71041673,103.0539349,0.13350232
27.71041668,82.36250884,0.087877212
27.71041667,74.20266468,0.093052054
27.71041667,61.04312375,0.074554288
27.71041667,49.32568338,0.082404589
27.71041667,38.13418311,0.101633122
27.71041667,23.67690357,0.156510246
27.71041667,9.030549488,0.222711496
27.71041667,-0.007744021,0.281076175
27.71041667,-11.10416971,0.361557492
27.71041667,-21.6314331,0.448811478
27.71041667,-35.56199979,0.578156054
27.71041667,-44.06314337,0.652577729
27.71041667,-53.71095736,0.726376581
27.71041667,-68.65065683,0.828485981
27.71041667,-79.36629112,0.891912626
27.71041667,-90.38319123,0.963395297
27.71041667,-88.61367561,1.024620449
27.71041667,-78.01854545,1.087053491
27.71041667,-59.48261714,1.131074274
27.71041667,-45.60399294,1.201486401
27.71041667,-31.85510773,1.25942999
27.71041667,-21.7151589,1.317719877
27.71041667,-13.61626906,1.456291288
27.71041667,-3.877467634,1.552643498
27.71041667,11.18380452,1.65628292
27.71041667,25.22917347,1.743574386
27.71041667,35.99183532,1.808782235
27.71041667,53.19809243,1.925185396
27.71041667,68.37244005,2.035039643
27.71041667,79.65011138,2.083535211
27.71041667,98.87276764,2.132593515
27.71041667,112.2313788,2.196027488
27.71041667,122.8987064,2.263218426
27.71041667,111.0401248,2.339788292
27.71041667,97.2075955,2.38138813
27.71041667,81.95491584,2.430423135
27.71041667,66.45135605,2.467402278
27.71041667,56.18956375,2.494425878
27.71041667,46.45557981,2.521061139
27.71041667,31.28106496,2.50630599
27.71041667,21.43124282,2.511272057
27.71041667,6.347267826,2.514879587
27.71041667,-8.464498778,2.476051628
23.71805376,-26.50005057,2.428032798
19.19548651,-33.84802069,2.392996026
9.218274353,-47.85945037,2.338248858
-4.182885078,-65.35715289,2.237795134
-13.48675216,-76.27952678,2.159520229
-23.09439842,-88.68562041,2.100367993
-30.09407772,-90.53254126,2.068474403
